id,osmid,name,alt_name,light_pol,lat,lng
1,1180,Unknown,Fort Henry,10.65222578,44.23070192,-76.45979658
2,107965,Riverwood,Riverwood,22,43.56408027,-79.67480826
3,452625,Unknown,Centennial (Cambridge) Public School,26.79060466,43.42094148,-80.31796549
4,541177,Unknown,Diamond 2,26.73790874,43.38871269,-80.29421875
5,556815,Kin Family Park,Kin Family Park,16.66286955,43.9216129,-80.11897828
6,946389,Black Creek Provincial Park,Black Creek Provincial Park,0.22375,44.9728684,-81.36279597
7,946390,Cabot Head Provincial Nature Reserve,Cabot Head Provincial Nature Reserve,0.231584905,45.20729927,-81.44907977
8,1106820,Camilla Park,Camilla Park,41.29221584,43.57509925,-79.60302419
9,1108157,Unknown,Woodview Drive,7.606666671,43.80918514,-79.14641237
10,1109955,The Village Green,The Village Green,24.18048894,43.57419959,-79.56857605
11,1147525,Richard Jones Park,Richard Jones Park,37.09838753,43.5874135,-79.61486313
12,1159350,Unknown,6743 Baby Gran Court,24.29919767,43.62442966,-79.71811403
13,1159378,Neebin Park,Neebin Park,30.63266568,43.63834565,-79.72351259
14,1159401,Unknown,6651 Rothschild Trail,33.27000046,43.62751421,-79.71167223
15,1164068,Marco Muzzo Senior Memorial Woods and Park,Marco Muzzo Senior Memorial Woods and Park,21.3260396,43.54242523,-79.73013245
16,1172604,Applewood Heights Park,Applewood Heights Park,44.16529425,43.60633721,-79.5932586
17,1172616,Hawkins Glen Park,Hawkins Glen Park,50.42381941,43.60007203,-79.59679495
18,1172628,Applewood Park,Applewood Park,31.38500023,43.61624902,-79.60443561
19,1175786,Willowcreek Park,Willowcreek Park,40.1099987,43.61505686,-79.58407764
20,1175796,Bethesda Common,Bethesda Common,35.1028558,43.62221812,-79.58512
21,1175838,Burnhamdale Park,Burnhamdale Park,33.74748717,43.61976134,-79.58806449
22,1215146,Unknown,1588 South Parade Court,32.15352509,43.57514446,-79.68519029
23,1298549,Churchill Meadows Community Common,Churchill Meadows Community Common,25.16820825,43.55705627,-79.74700799
24,1298599,O'Connor Park,O'Connor Park,24.30293312,43.55291449,-79.73968852
25,1303133,John C. Pallett Park,John C. Pallett Park,46.85450558,43.55216748,-79.71038976
26,1341155,Unknown,Hickory Drive,28.39019672,43.62482449,-79.61145487
27,1358991,Rathwood District Park,Rathwood District Park,28.60392893,43.61994018,-79.61546334
28,1359006,Golden Orchard Park,Golden Orchard Park,32.80073243,43.62190909,-79.60763268
29,1359012,Shelby Park,Shelby Park,29.20383901,43.61462107,-79.62073664
30,1376823,Windrush Woods,Windrush Woods,53.2092792,43.59768457,-79.77167565
31,1410689,Unknown,Riverwood Park Lane,24.3100001,43.56485858,-79.67456881
32,1462031,Point Pelee National Park,Point Pelee National Park,0.972173915,41.96238369,-82.51834111
33,1591147,Biener's Bush,Biener's Bush,3.690000057,44.45484467,-81.39803194
34,1959402,Unknown,Osprey Marsh,14.8522617,43.55970051,-79.76090268
35,1959811,Unknown,3929 McDowell Drive,17.04000092,43.5542596,-79.7554177
36,2036854,Unknown,7229 Waldorf Way,17.5,43.62514749,-79.73620248
37,2036855,Godwick Green,Godwick Green,20.70239591,43.62303087,-79.74142403
